gene,rna_lfc,rna_p,prot_lfc,prot_p,neglog10p,concordant,transcriptomic,proteomic,genomic,score
VTI1A,0.0386989931107581,0.2604585328168659,0.206720497812266,3.251031603017775e-10,23.69897000433602,True,0.0386989931107581,0.206720497812266,23.69897000433602,0.461038961038961
MXRA8,0.4706597774244869,1.5885556795477172e-07,-0.083172579534562,0.09481135789103,9.30102999566398,False,0.4706597774244869,0.083172579534562,9.30102999566398,0.45670995670995673
RFX7,-0.0125649178590325,0.789679532249921,0.4214950377703796,3.9904281332344544e-11,8.096910013008056,False,0.0125649178590325,0.4214950377703796,8.096910013008056,0.45238095238095233
GAREM1,0.1966189719130895,0.0274570269315882,-0.2443397164525968,0.0023240807232862,7.397940008672037,False,0.1966189719130895,0.2443397164525968,7.397940008672037,0.4512987012987013
COPS2,-0.1605431902490703,0.0002524522588319,-0.0854157433926719,6.220437934412573e-09,28.221848749616356,True,0.1605431902490703,0.0854157433926719,28.221848749616356,0.4491341991341991
NTM,0.0681134075251712,0.7734061365510957,-0.5859656862094872,4.0227604515958725e-08,5.698970004336019,False,0.0681134075251712,0.5859656862094872,5.698970004336019,0.4448051948051948
PHLDB1,-0.3246078431372527,1.3985355784557434e-07,-0.3073306551616227,3.2781704562744516e-19,6.0,True,0.3246078431372527,0.3073306551616227,6.0,0.4426406926406926
MPHOSPH6,0.050564387917328,0.4519478076399879,0.2744549260668001,2.3667636334005135e-20,9.0,True,0.050564387917328,0.2744549260668001,9.0,0.4415584415584415
TLE3,0.5205299417064158,7.615648647359074e-15,0.1515775375961031,0.0053914175773467,6.221848749616356,True,0.5205299417064158,0.1515775375961031,6.221848749616356,0.4372294372294372
SYNGR2,0.4529464758876518,6.477813779478151e-13,0.2415269782049206,9.811620337383415e-06,6.0,True,0.4529464758876518,0.2415269782049206,6.0,0.43614718614718617
RNASET2,0.3964016958134611,3.25347479875891e-08,0.3714688267113491,7.564221876638087e-10,5.3979400086720375,True,0.3964016958134611,0.3714688267113491,5.3979400086720375,0.43398268398268397
UBXN4,0.4591308956014845,1.3090187847046156e-22,0.1539041490930665,5.291911952139637e-10,6.301029995663981,True,0.4591308956014845,0.1539041490930665,6.301029995663981,0.43181818181818177
GALK2,-0.1758505564387906,0.0001267032046203,0.1172282394482559,0.0004688475440731,11.522878745280336,False,0.1758505564387906,0.1172282394482559,11.522878745280336,0.4274891774891775
ACTR2,0.178248542660306,0.0002049622657242,-0.0657131464248561,6.142864017331914e-05,16.397940008672037,False,0.178248542660306,0.0657131464248561,16.397940008672037,0.41774891774891776
MINDY4,-0.6335002649708521,1.726879414234999e-16,0.2294653257522826,5.7278111206544e-05,5.3979400086720375,False,0.6335002649708521,0.2294653257522826,5.3979400086720375,0.4101731601731602
DVL1,0.3959432962374123,1.6498584230568354e-08,-0.0200976714484379,0.5440918974542698,9.30102999566398,False,0.3959432962374123,0.0200976714484379,9.30102999566398,0.40800865800865804
FUT2,1.8875702172760995,2.59064041727848e-53,0.0863494521035461,0.7060493892774296,5.301029995663981,True,1.8875702172760995,0.0863494521035461,5.301029995663981,0.4069264069264069
TET3,0.2291785903550582,3.649633720852239e-06,0.5010359526140757,5.201564745827304e-06,5.154901959985743,True,0.2291785903550582,0.5010359526140757,5.154901959985743,0.4025974025974025
MECOM,-0.6088765235824045,6.752149225824992e-07,0.0051033041128751,0.9323610750948944,6.698970004336019,False,0.6088765235824045,0.0051033041128751,6.698970004336019,0.4015151515151515
HLA-DQB1,-0.3513778484366749,0.0165295731889252,-0.0962291222979215,0.4507003191979571,7.221848749616356,True,0.3513778484366749,0.0962291222979215,7.221848749616356,0.40043290043290036
CPNE4,2.3554663487016434,2.0063365250908386e-21,0.0409721650331407,0.7321833922274091,5.3979400086720375,True,2.3554663487016434,0.0409721650331407,5.3979400086720375,0.3971861471861472
DLG2,-0.059684684684683,0.4902885613665989,-0.3568384537721975,6.070630295976535e-08,6.221848749616356,True,0.059684684684683,0.3568384537721975,6.221848749616356,0.395021645021645
MATN1,-0.0827874933757288,0.5009180778815013,0.4324921894437448,0.2379407363262577,5.698970004336019,False,0.0827874933757288,0.4324921894437448,5.698970004336019,0.395021645021645
MORF4L1,-0.3817382087970333,4.329296191983434e-15,0.0566940228890943,0.0167620073685337,8.522878745280337,False,0.3817382087970333,0.0566940228890943,8.522878745280337,0.39285714285714285
FADS1,0.1498675145733994,0.0862047935315487,0.0719750456897006,0.1763779813313373,13.69897000433602,True,0.1498675145733994,0.0719750456897006,13.69897000433602,0.39285714285714285
BABAM1,0.2889798622151556,5.906876148809701e-12,0.0666825886669863,9.783554149959484e-05,8.698970004336019,True,0.2889798622151556,0.0666825886669863,8.698970004336019,0.3831168831168831
MTAP,-0.0054875463698991,0.9381674155217464,-0.1244210203522112,0.0014452510129202,18.522878745280337,True,0.0054875463698991,0.1244210203522112,18.522878745280337,0.380952380952381
NCOA1,-0.6604769475357681,2.972041321995503e-38,-0.257555057736808,3.622771005151915e-20,5.045757490560675,True,0.6604769475357681,0.257555057736808,5.045757490560675,0.37987012987012986
RUNX1,0.981319554848973,2.217342970224585e-33,0.2061263784243696,2.8546712601383796e-10,5.0,True,0.981319554848973,0.2061263784243696,5.0,0.37878787878787873
MAP3K1,-0.0169528351881265,0.730288759804773,0.1687320508806685,9.444857433085456e-09,11.397940008672036,False,0.0169528351881265,0.1687320508806685,11.397940008672036,0.37662337662337664
