gene	log2fc	pval
AC003991.2	-0.06837042925278247	0.49889823672079164
AC003992.1	-0.5974960254372021	4.057620677088638e-05
AC004000.1	0.6081770005299414	4.6586724646931697e-07
AC004004.1	-0.05304186539480649	0.6416488959278901
AC004006.1	-0.011703762586115524	0.8062576197037927
AC004009.1	0.2165262321144674	0.04045623200498379
AC004009.2	0.23889507154213038	0.012859305617645185
AC004009.3	0.18882087970323264	0.032056827880736966
AC004012.1	0.10949920508743993	0.4502864452379314
AC004014.1	-0.023502914679385256	0.7481980548015457
AC004014.2	0.1819051404345533	0.06656546187203821
AC004022.1	0.32505564387917385	0.022069333714182265
AC004022.2	0.17650503444621102	0.15427220244181988
AC004023.1	-0.15693428722840475	0.26122007076164416
AC004024.1	0.11016693163751934	0.4080265981034525
AC004034.1	0.32528881822999445	0.017919807314293233
AC004039.1	0.17054848966613645	0.14167253880164013
AC004047.1	-0.3308399576046641	7.343189691783682e-11
AC004052.1	-0.2678961314255432	0.0003460399115032778
AC004053.1	0.5557763645998941	6.675502030707883e-06
AC004054.1	-0.028995760466348552	0.8067476126764371
AC004057.1	-0.8823025967143616	0.021207617329850322
AC004062.1	0.24594594594594593	0.0035689190653096664
AC004063.1	0.17076841547429777	0.09341072768723055
AC004066.1	0.5841759406465288	6.67055637120794e-05
AC004067.1	0.47158717541070416	2.0321858356317107e-10
AC004069.1	0.25847111817700075	0.032161445603234834
AC004069.2	0.4987413884472709	6.160511392540355e-05
AC004069.3	-0.008235294117647058	0.2979554779188762
AC004074.1	0.0	
AC004076.1	-0.2186168521462628	0.13677298086011297
AC004076.2	0.2486777954425019	0.0041735627105935836
AC004079.1	-0.10943561208267083	0.16219879517485927
AC004079.3	-0.1941547429782724	0.06794847254355993
AC004079.4	0.22505034446210903	0.04283241107431164
AC004079.5	-0.09262586115527305	0.4749051132258924
AC004080.1	0.3539639639639639	2.6659497095503303e-05
AC004080.10	0.023873873873873873	0.14638561568661798
AC004080.11	0.0	
AC004080.12	0.08477477477477477	0.0033422497260336003
AC004080.13	0.061351351351351356	0.02686949964678293
AC004080.14	0.023063063063063063	0.1065878661879901
AC004080.15	0.11364599894011658	0.007958623035052848
AC004080.16	0.021195018547959722	0.2555363738823209
AC004080.17	-0.011078431372549019	0.2979554779188762
AC004080.2	0.13846846846846847	0.004250435574446018
AC004080.3	0.08820879703232645	0.0935090508993085
AC004080.4	0.10414944356120828	0.07647429910703595
AC004080.5	-1.2469289878113408	2.4687683493542267e-17
AC004080.6	-0.6947535771065181	0.0002774312592758555
AC004080.7	0.0	
AC004080.8	0.0	
AC004083.1	-0.6344806571277153	4.398925074385034e-06
AC004112.1	0.0388314785373608	0.7343858608328975
AC004125.1	0.0	
AC004129.1	0.0	
AC004129.2	-0.000704822469528351	0.957967933547565
AC004129.3	0.0	
AC004129.4	-0.0032591414944356124	0.7889532868772322
AC004130.2	0.7425728669846317	2.6343470477218635e-06
AC004134.1	0.39156862745097953	0.002278636113621568
AC004147.1	0.004909909909909908	0.8352675752772986
AC004147.2	0.26806306306306305	0.023484033646134175
